key_id,mid,following_num,follower_num
419,25126508,34,1321164
420,92568184,321,1204970
421,35095918,198,516208
422,452606628,155,1817130
423,8048877,143,1079680
424,2136132,127,652255
425,238165152,161,447946
426,285571498,91,1910259
427,492046446,9,155451
428,474702359,85,2788118
429,476704454,118,3970305
430,1012300035,338,220936
431,3493270642493770,40,10584
432,3546385752263143,3,31637
433,14800002,94,2255433
434,12816241,296,1409215
435,39320988,10,346545
436,232728799,45,341161
437,4059920,144,2754125
438,241852368,34,14413
439,2029484707,113,22575
440,652239032,30,998891
441,37663924,804,7585365
442,1984198637,24,1009725
443,1920908011,158,237965
444,1636194007,108,662490
445,416128940,236,2793017
446,11207240,193,6377
447,502673952,32,627574
448,405370021,57,4574147
449,3032988,92,3375798
450,43703740,8,997834
451,391943536,2,324746
452,12347365,32,124484
453,1544008396,260,1043816
454,13164144,660,2711128
455,474455238,7,311323
456,216844,78,1157665
457,423738152,181,3259541
458,458059805,95,263
459,1511648,289,124201
460,414702734,33,714580
461,75,210,1326908
462,54911793,12,709983
463,5142241,125,316648
464,490042702,6,760103
465,400907285,0,143008
466,3493093936466806,70,675695
467,238360699,24,37163
468,3546388260456549,2,103806
469,427150401,17,590
470,1575718735,219,819486
471,32606879,7,1232608
472,94510621,74,4061188
473,503302,364,450586
474,18362640,1,166223
475,226120153,74,141603
476,508215481,182,995408
477,173516096,33,925575
478,1928753206,105,71826
479,396848107,157,3518092
480,365842307,702,586014
481,439478093,372,2955540
482,480959917,22,1884133
483,107104575,389,43284
484,272279136,254,469932
485,320862549,9,355946
486,519872016,45,4646050
487,9091765,339,106384
488,285472321,13,17966
489,261485584,124,1567174
490,38968617,27,1154177
491,1380697881,1,198795
492,3546381564250477,0,71
