key_id,mid,following_num,follower_num,following_id
71,25334643,168,659552,forbidden
72,5321968,37,531697,548196587;197625229;1453409239;22984749;50693252;354937645;339233162;473222648;476747418;149012603;479592209;646744014;3537116476737670;517327498;28063678;3494351007124074;147909495;49576477;48033476;279661;76753199;151155077;251829707;64668767;7362788;71655551;3493132811373033;143006;324622004;35847683;481571676;697166795;32724990;642389251;511971950;596299260;231054557
73,1351956412,2,10331,forbidden
74,94281836,353,3093507,87296568;1068765283;5724545;628857678;316981456;503445318;24785838;351085345;33879836;190101016;4350565;108618052;308446;481825242;89161974;479551750;37946996;400059215;742365;51896064;26321770;46708782;540649;611502825;12128359;28027385;1353056164;527664095;11939517;330378204;1007043700;3461568046041659;423228676;112708024;34518913;5965305;489626167;9142182;3493130607265963;388485906;261168118;2253496;383236574;1418877092;509278225;15953291;1728547;388394328;261485584;8002550;16390953;17239951;743226;382953284;395845182;51612745;253350665;25623387;11643866;387598067;8262633;24620990;27218150;456187854;204980022;91073945;3368213;356798697;1955151023;495535252;15680;1460035755;457472779;2008684162;2726085;1718674;922151;17065975;1862781988;584762039;235555226;8041090;533459953;16395179;98627270;628647469;138827797;31700507;1995183728;41694332;1231343459;28469256;405067166;48394160;92114033;306936843;477782158;2313091;10897973;81824112
75,1946720965,464,322618,forbidden
76,6336952,218,1385660,forbidden
77,3546374687689501,1,11069,473222648
78,9728698,75,1744424,forbidden
79,3670216,4,6156590,473222648;320840078;37090048;19262351
80,25828081,453,95831,forbidden
81,33775467,1,2438687,235555226
82,90361813,1307,5343675,forbidden
83,1983705001,3,196819,686150641;3493262996277714;473222648
84,304207312,351,446221,forbidden
85,848939,520,195344,488034787;25876945;505370779;401742377;489763089;381958893;1453409239;405729969;488240620;407054668;408813251;39787428;516780325;241893546;29312092;683391622;586703517;1164161839;1809567655;227475289;437936780;297059545;383578614;1317230235;1267193437;3493110222948734;387243643;518371718;40039317;473183350;5621343;1433934891;1937308559;686150641;250111460;2031078527;2074367260;299024569;1237083546;340523748;351241979;1009877318;2087881184;39777637;678797523;38555255;927587;79577853;1726597059;504010939;320840078;474794085;626311738;395877542;438648113;2051617240;1633547470;488818381;1577325764;481442751;652588207;1359864728;357538100;1851255796;1752056466;601641547;1529313699;518950463;1140672573;95274778;6366965;95691866;1523475;487402274;12918980;688417212;275841574;423738152;475912512;1169142430;37646291;669931843;1249954025;676018916;7883992;307798558;21317806;547072854;596866446;30054255;512754089;13412396;137428284;11799651;84818292;1346921;40427625;289207345;353806838;22179951
86,304815404,29,232214,111826177;3710604;3188115;686150641;12566101;1814756990;1718674;456664753;343257106;5870268;175632999;495535252;612194373;32708626;136990609;2017166826;49960899;320840078;30279665;7518633;390483777;206840230;927587;400915281;68412710;473222648;37090048;256402844;271931211
87,3493114834585984,15,22513,11372907;1453409239;390461123;3493290095676061;409556903;21368190;686150641;8960728;473222648;3493131026696642;504648459;323401468;476704454;1659651634;37090048
88,68439967,29,1495021,1799994731;1453409239;40178656;297904521;29050359;7242749;50497474;403675898;489371187;1155574439;1678829543;261796673;395415494;314356882;454143774;231117076;320840078;313580179;495535252;243922650;454395857;321173469;1548805549;419738808;81554471;1659651634;473222648;505225239;37090048
